datetime,lat,lon,p,t,s,o2_t,fchl,fdom,par,tilt,tilt_std,c_su,o2_c,bbp,chla_adj,sigma,poc,cphyto
2016-08-30 09:32:43,53.6147,-42.7039,66.0,4.088,34.693,-0.00366104047584,0.11446,2.618432,0.00148728008553,1.8,1.03,0.376,9.51034200087,0.00105639258026,0.0411465517241,27.5349847291,23.0195379779,18.0705330772
2016-08-30 09:32:43,53.6147,-42.7039,68.0,4.067,34.695,-0.0036610404801,0.09506,2.608,-0.00264405348541,1.4,0.07,0.396,9.50942306349,0.000987598129114,0.0327844827586,27.5387997372,20.5827009295,16.9321649163
2016-08-30 09:32:43,53.6147,-42.7039,70.0,4.036,34.695,-0.00366104048566,0.08924,2.707104,-0.00677538705635,1.3,0.08,0.396,9.50840877677,0.00092436196564,0.030275862069,27.542063316,18.3427495469,15.8857718727
2016-08-30 09:32:43,53.6147,-42.7039,72.0,4.001,34.698,-0.00366104049209,0.08536,2.602784,-0.0117329873415,1.4,0.06,0.394,9.5089457358,0.000944717554908,0.0286034482759,27.5481171008,19.06378523,16.2226036133
2016-08-30 09:32:43,53.6147,-42.7039,74.0,3.964,34.701,-0.00366104049696,0.08924,2.608,-0.014211787484,1.3,0.09,0.392,9.5101987828,0.000970642665681,0.030275862069,27.5543636828,19.9821045037,16.6515963617
2016-08-30 09:32:43,53.6147,-42.7039,76.0,3.958,34.707,-0.00366104049841,0.09312,2.602784,-0.0179299876979,1.3,0.08,0.392,9.51658645712,0.00100963079035,0.0319482758621,27.559779758,21.3631418558,17.2967478098
2016-08-30 09:32:43,53.6147,-42.7039,78.0,3.951,34.708,-0.00366104049974,0.07954,2.597568,-0.0204087878404,1.3,0.14,0.394,9.51825885455,0.000894419201974,0.0260948275862,27.5613264827,17.2821169723,15.3902974814
2016-08-30 09:32:43,53.6147,-42.7039,80.0,3.924,34.709,-0.00366104050474,0.07954,2.597568,-0.0233007213401,1.3,0.1,0.393,9.51801991887,0.00106900823838,0.0260948275862,27.5649358397,23.4664098199,18.2792892094
2016-08-30 09:32:43,53.6147,-42.7039,82.0,3.898,34.714,-0.00366104050869,0.07566,2.576704,-0.0261926548398,1.4,0.09,0.391,9.51318303178,0.000885000463443,0.0244224137931,27.571616225,16.9484864161,15.2344420035
2016-08-30 09:32:43,53.6147,-42.7039,84.0,3.896,34.719,-0.0036610405092,0.07566,2.571488,-0.0278451882681,1.4,0.06,0.391,9.50900540019,0.0012101268614,0.0244224137931,27.5758270644,28.4651136845,20.6144331735
2016-08-30 09:32:43,53.6147,-42.7039,86.0,3.842,34.723,-0.00366104051817,0.06014,2.587136,-0.0307371217678,1.4,0.05,0.389,9.49368653229,0.000791958155857,0.0177327586207,27.5845671276,13.6527417968,13.6948352648
2016-08-30 09:32:43,53.6147,-42.7039,88.0,3.819,34.722,-0.00366104052188,0.06984,2.587136,-0.0328027885533,1.4,0.04,0.388,9.48844801769,0.00142362101087,0.0219137931034,27.5861432291,36.0275034471,24.1472027247
2016-08-30 09:32:43,53.6147,-42.7039,90.0,3.812,34.723,-0.00366104052313,0.06014,2.597568,-0.0352815886958,1.4,0.06,0.39,9.48725793335,0.000804899956775,0.0177327586207,27.5876784645,14.1111662689,13.9089882068
2016-08-30 09:32:43,53.6147,-42.7039,92.0,3.796,34.724,-0.00366104052581,0.05626,2.58192,-0.0369341221242,1.4,0.08,0.387,9.48487830569,0.000804863037001,0.0160603448276,27.5901273955,14.1098584967,13.9083772812
2016-08-30 09:32:43,53.6147,-42.7039,94.0,3.777,34.726,-0.00366104052891,0.05626,2.576704,-0.0389997889097,1.5,0.08,0.386,9.48101294853,0.000786237234142,0.0160603448276,27.5936731751,13.4500953078,13.6001689796
2016-08-30 09:32:43,53.6147,-42.7039,96.0,3.761,34.728,-0.00366104053174,0.05238,2.58192,-0.0398260556239,1.4,0.05,0.385,9.47655528531,0.000802919201254,0.0143879310345,27.5969114249,14.0410039468,13.8762118858
2016-08-30 09:32:43,53.6147,-42.7039,98.0,3.741,34.728,-0.00366104053538,0.05238,2.587136,-0.0410654556951,1.4,0.07,0.384,9.47388190247,0.000758285131632,0.0143879310345,27.5989582026,12.4599759327,13.1376348217
2016-08-30 09:32:43,53.6147,-42.7039,100.0,3.727,34.731,-0.0036610405373,0.04656,2.576704,-0.0427179891235,1.4,0.06,0.387,9.4718032344,0.000741525134603,0.0118793103448,27.6027843281,11.8663033179,12.8603007246
2016-08-30 09:32:43,53.6147,-42.7039,102.0,3.718,34.733,-0.00366104053893,0.04656,2.576704,-0.0431311224806,1.4,0.07,0.387,9.47150632679,0.00108150846667,0.0118793103448,27.6053045571,23.9091929064,18.4861352799
2016-08-30 09:32:43,53.6147,-42.7039,104.0,3.702,34.736,-0.00366104054133,0.0485,2.566272,-0.044783655909,1.4,0.07,0.386,9.46883466393,0.000760037370942,0.0127155172414,27.6093185538,12.5220437535,13.1666297974
2016-08-30 09:32:43,53.6147,-42.7039,106.0,3.696,34.737,-0.00366104054228,0.04462,2.561056,-0.0451967892661,1.4,0.08,0.387,9.46764755032,0.000760021723697,0.0110431034483,27.6107343654,12.5214894968,13.1663708765
2016-08-30 09:32:43,53.6147,-42.7039,108.0,3.689,34.739,-0.00366104054358,0.04268,2.587136,-0.0451967892661,1.4,0.05,0.385,9.46853786868,0.00078972865369,0.0102068965517,27.613046214,13.573768371,13.6579428376
2016-08-30 09:32:43,53.6147,-42.7039,110.0,3.682,34.741,-0.00366104054464,0.04074,2.571488,-0.0460230559803,1.4,0.06,0.385,9.46557053388,0.000767412471622,0.00937068965517,27.6153575151,12.7832845698,13.2886684162
2016-08-30 09:32:43,53.6147,-42.7039,112.0,3.679,34.742,-0.00366104054505,0.0388,2.587136,-0.0460230559803,1.4,0.07,0.386,9.46468055239,0.000815710431346,0.00853448275862,27.6164715383,14.4940948992,14.0878732746
2016-08-30 09:32:43,53.6147,-42.7039,114.0,3.678,34.744,-0.0036610405452,0.0485,2.576704,-0.0464361893374,1.4,0.06,0.384,9.46408728753,0.000865867902638,0.0127155172414,27.6181814458,16.2707728473,14.9178481839
2016-08-30 09:32:43,53.6147,-42.7039,116.0,3.672,34.744,-0.00366104054613,0.04268,2.566272,-0.0472624560515,1.4,0.1,0.382,9.4623077623,0.000785962367708,0.0102068965517,27.6187993428,13.4403589889,13.5956206593
2016-08-30 09:32:43,53.6147,-42.7039,118.0,3.667,34.747,-0.00366104054695,0.0388,2.566272,-0.0476755894086,1.4,0.07,0.384,9.45874992348,0.000845398311517,0.00853448275862,27.6217055736,15.5456989906,14.579130011
2016-08-30 09:32:43,53.6147,-42.7039,120.0,3.668,34.749,-0.00366104054679,0.04074,2.576704,-0.0480887227657,1.4,0.03,0.385,9.45578629127,0.000737632801359,0.00937068965517,27.6232153786,11.7284290897,12.795892794
2016-08-30 09:32:43,53.6147,-42.7039,122.0,3.67,34.751,-0.00366104054636,0.04074,2.576704,-0.0480887227657,1.4,0.05,0.385,9.45377166154,0.000741347526886,0.00937068965517,27.6246251365,11.8600120974,12.8573617816
2016-08-30 09:32:43,53.6147,-42.7039,124.0,3.677,34.754,-0.00366104054504,0.04268,2.566272,-0.0485018561228,1.4,0.05,0.384,9.44137532485,0.000787803518919,0.0102068965517,27.6263305727,13.5055762472,13.6260868944
2016-08-30 09:32:43,53.6147,-42.7039,126.0,3.677,34.757,-0.00366104054559,0.04074,2.576704,-0.0489149894799,1.4,0.05,0.383,9.42845526869,0.000741346045952,0.00937068965517,27.6287366441,11.8599596397,12.857337276
2016-08-30 09:32:43,53.6147,-42.7039,128.0,3.673,34.761,-0.00366104054586,0.0388,2.571488,-0.0497412561941,1.4,0.05,0.382,9.41712495237,0.000730178601787,0.00853448275862,27.6323399036,11.4643864325,12.6725452955
2016-08-30 09:32:43,53.6147,-42.7039,130.0,3.676,34.764,-0.00366104054516,0.03298,2.576704,-0.049328122837,1.4,0.06,0.382,9.41547398628,0.000745040531111,0.00602586206897,27.6344460868,11.990825693,12.9184713385
2016-08-30 09:32:43,53.6147,-42.7039,132.0,3.686,34.768,-0.00366104054368,0.03492,2.561056,-0.049328122837,1.4,0.05,0.383,9.40628212978,0.000704175719898,0.00686206896552,27.6366467996,10.5433123502,12.2422656386
2016-08-30 09:32:43,53.6147,-42.7039,134.0,3.687,34.769,-0.00366104054365,0.03686,2.571488,-0.0497412561941,1.4,0.03,0.382,9.39545434627,0.000776635868228,0.00769827586207,27.637360595,13.1099957244,13.4412914964
2016-08-30 09:32:43,53.6147,-42.7039,136.0,3.669,34.769,-0.00366104054647,0.03686,2.587136,-0.0489149894799,1.4,0.06,0.382,9.37853663156,0.000808182593988,0.00769827586207,27.6391814923,14.2274438442,13.9633072635
